cohort,group,gene,rho,p,rho_purity,n,fdr,REG4_detect
ACC,Other epithelial,MUC2,0.320429682338092,0.00398974935759717,0.347086955931611,79,0.0115403590649187,0.01
ACC,Other epithelial,TFF3,0.00978744524778506,0.931777919293904,0.0185104645886365,79,0.960279361531129,0.01
ACC,Other epithelial,SPINK4,0.195852004233879,0.0836625180652268,0.19222689651012,79,0.152684095469039,0.01
ACC,Other epithelial,FCGBP,-0.0324885998894125,0.776228503630463,-0.0160598952864582,79,0.847101976037532,0.01
ACC,Other epithelial,AGR2,0.17497880712203,0.122980791001469,0.202942210331616,79,0.211237593955464,0.01
ACC,Other epithelial,KRT8,0.199828150636781,0.0774534797545569,0.214361150455562,79,0.144360102691472,0.01
ACC,Other epithelial,KRT18,0.124182969188481,0.275538521297131,0.120156270324977,79,0.400109143107282,0.01
ACC,Other epithelial,KRT19,0.0192659245322558,0.866169904089859,0.0178708259898706,79,0.907613440170714,0.01
ACC,Other epithelial,EPCAM,0.0240827494699265,0.833144111189155,0.0211797848799307,79,0.883576563440314,0.01
ACC,Other epithelial,CDX2,0.0497189662020951,0.663462702559967,0.0436488127682307,79,0.772863467343791,0.01
ACC,Other epithelial,VIL1,0.231145162546621,0.0404072308548058,0.236870036619534,79,0.0819368847889118,0.01
ACC,Other epithelial,KLF4,0.0426662884309721,0.70888663775307,0.0481830340060188,79,0.795705381600085,0.01
ACC,Other epithelial,HNF4A,-0.0323024910870951,0.777477156089241,-0.0362738234853615,79,0.847101976037532,0.01
BLCA,Other epithelial,MUC2,0.370531405659436,1.00539224623573e-14,0.343367444966699,408,1.83484084938021e-13,0.74
BLCA,Other epithelial,TFF3,0.140562412522303,0.00444607493374727,0.12129200441125,408,0.0126453300063721,0.74
BLCA,Other epithelial,SPINK4,0.351940619199107,2.43170927023182e-13,0.321639185694736,408,3.43576987213399e-12,0.74
BLCA,Other epithelial,FCGBP,0.126449262471732,0.0105705734179368,0.112965421030104,408,0.0267624922373196,0.74
BLCA,Other epithelial,AGR2,0.431266172397826,6.54493832787535e-20,0.37660039498325,408,1.79167686725588e-18,0.74
BLCA,Other epithelial,KRT8,0.310067014779533,1.53055735840844e-10,0.284252438832275,408,1.45735678909325e-09,0.74
BLCA,Other epithelial,KRT18,0.277999578534368,1.1228132270948e-08,0.279645396680278,408,9.10726284199115e-08,0.74
BLCA,Other epithelial,KRT19,0.298792959584457,7.36516386852314e-10,0.282868329566811,408,6.45188354882627e-09,0.74
BLCA,Other epithelial,EPCAM,0.20569438085255,2.82751072321275e-05,0.172192515801149,408,0.000134614097474694,0.74
BLCA,Other epithelial,CDX2,0.14546308659487,0.00323085974412114,0.111472404218412,408,0.00956159843192606,0.74
BLCA,Other epithelial,VIL1,0.0566470348359832,0.25361184687842,0.0725255824679578,408,0.374013430749993,0.74
BLCA,Other epithelial,KLF4,-0.12952654878183,0.00881042849702561,-0.0894524699168976,408,0.0229700457243882,0.74
BLCA,Other epithelial,HNF4A,0.291457089363587,1.97517154403451e-09,0.253576985129731,408,1.6963237966414e-08,0.74
BRCA,Other epithelial,MUC2,0.0614894215441362,0.0419178905929383,0.0651641492176925,1095,0.0846084611968064,0.38
BRCA,Other epithelial,TFF3,0.215948213804561,5.08060524784081e-13,0.226027998675202,1095,6.54501499574786e-12,0.38
BRCA,Other epithelial,SPINK4,0.077452342967038,0.0103508245248617,0.0979168546386252,1095,0.0263584950109851,0.38
BRCA,Other epithelial,FCGBP,0.0528465124551576,0.080471523271723,0.0363037839962434,1095,0.147475009175794,0.38
BRCA,Other epithelial,AGR2,0.188587392013259,3.1767419973954e-10,0.212972016990408,1095,2.8987770726233e-09,0.38
BRCA,Other epithelial,KRT8,0.0748793126075729,0.0131948970774398,0.0837790579379547,1095,0.0321802536471374,0.38
BRCA,Other epithelial,KRT18,0.100512706183876,0.000866331053747368,0.123238866346064,1095,0.0030601048511399,0.38
BRCA,Other epithelial,KRT19,0.0748550111816505,0.0132247617727962,0.0881093121288194,1095,0.0321802536471374,0.38
BRCA,Other epithelial,EPCAM,0.0274234842300829,0.364619082361751,0.0551156105596345,1095,0.499072368982647,0.38
BRCA,Other epithelial,CDX2,-0.0159329087751073,0.598427150809379,-0.0405748693539545,1095,0.712258402322032,0.38
BRCA,Other epithelial,VIL1,-0.034154001271396,0.25880449458973,-0.0235265503408046,1095,0.379118289733451,0.38
BRCA,Other epithelial,KLF4,0.128040695286353,2.14123268612942e-05,0.103519606272592,1095,0.000105377518710639,0.38
BRCA,Other epithelial,HNF4A,0.0792864023292117,0.00867035447524096,0.0825499980481295,1095,0.0227402111386559,0.38
CESC,Other epithelial,MUC2,0.118768429828075,0.0384899994754737,0.102716776831699,304,0.0787558290221499,0.38
CESC,Other epithelial,TFF3,0.173020443337146,0.00246871981680002,0.18046128101656,304,0.0076147836602705,0.38
CESC,Other epithelial,SPINK4,0.115179253231343,0.0447892188397795,0.112731457699652,304,0.0895784376795589,0.38
CESC,Other epithelial,FCGBP,0.308512407831264,3.98604505550789e-08,0.296095605294713,304,2.95913175307196e-07,0.38
CESC,Other epithelial,AGR2,0.183973480951439,0.00127291254128163,0.183685130878908,304,0.00425599765710956,0.38
CESC,Other epithelial,KRT8,0.187992562962761,0.000988872532747888,0.200091096449824,304,0.00341044227829587,0.38
CESC,Other epithelial,KRT18,0.200552552006102,0.000434553285134725,0.200222103235084,304,0.00161300287194076,0.38
CESC,Other epithelial,KRT19,0.0945229994732354,0.0999780045567208,0.110104127223361,304,0.178009617869283,0.38
CESC,Other epithelial,EPCAM,0.14514740839705,0.0112853228919797,0.175809343394866,304,0.0282455510096407,0.38
CESC,Other epithelial,CDX2,0.207583190612899,0.000268224620383609,0.211436714998864,304,0.00103054722568439,0.38
CESC,Other epithelial,VIL1,0.222692162222633,9.00074291519483e-05,0.229992623137909,304,0.000382750038529644,0.38
CESC,Other epithelial,KLF4,-0.0806628872869795,0.160647086808152,-0.085738376806415,304,0.258689058904303,0.38
CESC,Other epithelial,HNF4A,0.25250745756143,8.31486522294524e-06,0.255847599998212,304,4.49618637981483e-05,0.38
CHOL,GI adeno,MUC2,0.0846215000337472,0.623644255860256,0.0803933983349034,36,0.740260661427621,0.61
CHOL,GI adeno,TFF3,0.356223469428837,0.0329724193101899,0.35370714856153,36,0.0694323060474192,0.61
CHOL,GI adeno,SPINK4,0.245886285896505,0.148302901035724,0.248028608441422,36,0.245119511900555,0.61
CHOL,GI adeno,FCGBP,-0.102621991059283,0.55145745966938,-0.116826394320811,36,0.684244666671922,0.61
CHOL,GI adeno,AGR2,0.236172646761324,0.165522778297091,0.231852683225393,36,0.264594806182942,0.61
CHOL,GI adeno,KRT8,-0.198838195791411,0.245000485398862,-0.200144190794278,36,0.36376343255831,0.61
CHOL,GI adeno,KRT18,-0.318409651878758,0.05840761816366,-0.314160582813934,36,0.112698399804771,0.61
CHOL,GI adeno,KRT19,0.279302355088998,0.0990067500790055,0.274547031497223,36,0.176999822590222,0.61
