cohort,group,axis,rho,p,rho_pur,p_pur,fdr,fdr_pur,REG4_detect
ACC,Other epithelial,epi_secretory,0.181045940256705,0.110321830516508,0.211528757857003,0.0666066386935434,0.150037689502451,0.107839319789546,0.01
ACC,Other epithelial,secretory,0.21785348798491,0.053768799039434,0.295763428007204,0.0094870487987452,0.0870542460638456,0.0161279829578668,0.01
ACC,Other epithelial,stromal_emt,0.00297072938161241,0.979270415327656,0.00664282769279673,0.954583692899494,0.979270415327656,0.954583692899494,0.01
ACC,Other epithelial,immune_cytotoxic,0.0972966544984831,0.393640503438517,0.116760935523213,0.315152511011695,0.495695448774429,0.46587762497381,0.01
ACC,Other epithelial,nk,0.0275371865373576,0.80963237774866,0.0293575359248142,0.801237653769178,0.860234401357951,0.896382684586097,0.01
ACC,Other epithelial,nk_given_immune,-0.100226274226367,0.382617018444634,,,0.520359145084702,,0.01
BLCA,Other epithelial,epi_secretory,0.491172898170066,3.65452928817442e-26,0.461831055550213,2.57746978065886e-22,3.10634989494826e-25,1.75267945084803e-21,0.74
BLCA,Other epithelial,secretory,0.429572573634856,9.44779804304568e-20,0.390939545399513,6.54261518439282e-16,6.42450266927107e-19,4.44897832538712e-15,0.74
BLCA,Other epithelial,stromal_emt,-0.335767160943289,3.29409996519778e-12,-0.24685157130172,6.56066024257454e-07,1.11999398816724e-10,1.11531224123767e-05,0.74
BLCA,Other epithelial,immune_cytotoxic,-0.240612407388376,8.75880995928024e-07,-0.119972017759013,0.016917364197935,5.95599077231057e-06,0.0563350803714614,0.74
BLCA,Other epithelial,nk,-0.260176744397244,9.75240238925434e-08,-0.146406746548381,0.00350034364725912,6.63163362469295e-07,0.011901168400681,0.74
BLCA,Other epithelial,nk_given_immune,-0.107160094892087,0.0306604524687958,,,0.0744610988527897,,0.74
BRCA,Other epithelial,epi_secretory,0.165706945712358,3.48222436820768e-08,0.190530721153724,5.33999326145542e-10,1.31550698354512e-07,2.26949713611856e-09,0.38
BRCA,Other epithelial,secretory,0.172236110021593,9.70334297191065e-09,0.184434010447473,1.89497363714112e-09,2.99921510040875e-08,6.44291036627981e-09,0.38
BRCA,Other epithelial,stromal_emt,-0.033024296287289,0.274899244601156,-0.0743467065162179,0.0162249035803405,0.435027484295978,0.045970560144298,0.38
BRCA,Other epithelial,immune_cytotoxic,0.0520581737923286,0.0850974450278577,-0.00516988586242947,0.867428901924742,0.131514233224871,0.893714626225491,0.38
BRCA,Other epithelial,nk,0.0625391402643386,0.0385337784562336,0.00610818118016263,0.84365429137515,0.0727860259728857,0.896382684586097,0.38
BRCA,Other epithelial,nk_given_immune,0.0350626678954746,0.246557383555858,,,0.44120794952101,,0.38
CESC,Other epithelial,epi_secretory,0.252253635855394,8.49627301512984e-06,0.251572814349989,1.45391326018155e-05,2.2221021731878e-05,3.29553672307819e-05,0.38
CESC,Other epithelial,secretory,0.233284001405112,3.99960142393395e-05,0.221640989465223,0.000141491227795112,9.06576322758361e-05,0.000282982455590224,0.38
CESC,Other epithelial,stromal_emt,-0.0468126930014035,0.416051417581864,-0.0895263299310968,0.12824735123621,0.523916599917902,0.218020497101557,0.38
CESC,Other epithelial,immune_cytotoxic,0.184817399050532,0.0012076929488359,0.150375920535983,0.0103369971420234,0.00410615602604207,0.0390508780920882,0.38
CESC,Other epithelial,nk,0.175867292113507,0.0020857556104532,0.140732054876804,0.0164769028323451,0.00590964089628408,0.0509286087545212,0.38
CESC,Other epithelial,nk_given_immune,0.0582259660688572,0.312398817485457,,,0.451455909293339,,0.38
CHOL,GI adeno,epi_secretory,0.138589003278986,0.420191709024308,0.132749889361847,0.447128606567754,0.49263855540781,0.506745754110121,0.61
CHOL,GI adeno,secretory,0.193714040997798,0.257622392156445,0.185376257698034,0.286357498086154,0.336890820512274,0.360598330923305,0.61
CHOL,GI adeno,stromal_emt,-0.150364539505305,0.381389327416039,-0.200358677349549,0.248484530843952,0.50885949475683,0.320450180598705,0.61
CHOL,GI adeno,immune_cytotoxic,0.0927808733436345,0.590437546076339,0.0733378765081734,0.675449838651663,0.647576663438565,0.791906707384708,0.61
CHOL,GI adeno,nk,0.223088180815099,0.19092620619041,0.238006332790849,0.168572210918424,0.243637245054112,0.318414176179246,0.61
CHOL,GI adeno,nk_given_immune,0.248670893725938,0.149734993447871,,,0.298528993950596,,0.61
COAD,GI adeno,epi_secretory,0.719920985502717,6.63315619430781e-73,0.714279481049101,5.94433910176571e-69,2.25527310606466e-71,2.02107529460034e-67,0.98
COAD,GI adeno,secretory,0.821685399009938,3.29190338713982e-111,0.815945810711192,7.34988265116559e-105,1.11924715162754e-109,2.4989601013963e-103,0.98
COAD,GI adeno,stromal_emt,-0.0511599745057673,0.279364934336506,-0.14822241211171,0.00196096541619913,0.435027484295978,0.00952468916439576,0.98
COAD,GI adeno,immune_cytotoxic,0.190352341484674,4.91935194338473e-05,0.151736172784277,0.0015226669780629,0.00023893995153583,0.0103541354508277,0.98
COAD,GI adeno,nk,0.282988301110908,1.02845007501664e-09,0.249378687919066,1.41240150956371e-07,8.74182563764142e-09,1.20054128312916e-06,0.98
COAD,GI adeno,nk_given_immune,0.2265101208278,1.27236667185232e-06,,,2.16302334214894e-05,,0.98
DLBC,Non-epithelial,epi_secretory,0.192859721943088,0.189075426361243,0.305590720225305,0.0388974265164079,0.247252480626241,0.0661256250778934,0.52
DLBC,Non-epithelial,secretory,0.232981579172628,0.111022869257455,0.402725442864703,0.00552322007517064,0.164120763250151,0.00988365697662115,0.52
DLBC,Non-epithelial,stromal_emt,-0.128499866031046,0.384069630908713,-0.171488192315879,0.254475143416619,0.50885949475683,0.320450180598705,0.52
DLBC,Non-epithelial,immune_cytotoxic,0.335044988590786,0.0199228323008615,0.0163792059717146,0.913964668149335,0.037632016568294,0.913964668149335,0.52
DLBC,Non-epithelial,nk,0.444253386282697,0.00156047527667448,0.171398554820771,0.254727260421122,0.00482328721881203,0.393669402469006,0.52
DLBC,Non-epithelial,nk_given_immune,0.325376606579467,0.0256336092705208,,,0.072628559599809,,0.52
ESCA_EAC,GI adeno,epi_secretory,0.637126635421749,1.91318372034447e-11,0.644993729928213,1.84611612347049e-10,9.29260664167313e-11,8.96684974257093e-10,0.97
ESCA_EAC,GI adeno,secretory,0.676393227750311,3.47729192716294e-13,0.6927759170751,2.10741179664728e-12,1.47784906904425e-12,1.02360001551439e-11,0.97
ESCA_EAC,GI adeno,stromal_emt,-0.254326305136088,0.0161688924129529,-0.206697901427098,0.0694171079910675,0.0549742342040398,0.138834215982135,0.97
ESCA_EAC,GI adeno,immune_cytotoxic,-0.20496429149782,0.0540040787728744,-0.0755211367875146,0.511080921960558,0.0917383782363823,0.620598262380677,0.97
ESCA_EAC,GI adeno,nk,-0.14223818725564,0.18362547749326,0.0261836799335759,0.81999339727311,0.243637245054112,0.896382684586097,0.97
ESCA_EAC,GI adeno,nk_given_immune,0.0361313156854924,0.738225127594119,,,0.767825040149245,,0.97
ESCA_ESCC,Other epithelial,epi_secretory,0.175470880062843,0.0889690834864353,0.148535625976646,0.185703340938835,0.126039534939117,0.242842830458476,0.4
ESCA_ESCC,Other epithelial,secretory,0.246565366220166,0.0160085317584795,0.179529217104978,0.108778282906733,0.0286468463046475,0.155745671012802,0.4
ESCA_ESCC,Other epithelial,stromal_emt,-0.0344929360695148,0.740007294631293,-0.0590373264322949,0.600602362103511,0.81254335538618,0.704154493500668,0.4
ESCA_ESCC,Other epithelial,immune_cytotoxic,0.310144353089315,0.00222304636199038,0.284189832755999,0.01013456004011,0.00629863135897274,0.0390508780920882,0.4
ESCA_ESCC,Other epithelial,nk,0.248068466077801,0.0153556733709257,0.198552571002868,0.0755788189272429,0.0348061929740983,0.171311989568417,0.4
ESCA_ESCC,Other epithelial,nk_given_immune,-0.0339575773517982,0.745241950733091,,,0.767825040149245,,0.4
GBM,Non-epithelial,epi_secretory,-0.0354324855797935,0.663694531112825,-0.1040641339356,0.216137064723294,0.730403101541335,0.262452150021143,0.14
GBM,Non-epithelial,secretory,-0.0451057268423727,0.579829713335501,-0.120236253102188,0.152604546442847,0.657140341780235,0.207542183162272,0.14
GBM,Non-epithelial,stromal_emt,-0.174141230584865,0.0313327971503856,-0.233447809920601,0.0050159441902003,0.0968468275557373,0.017054210246681,0.14
GBM,Non-epithelial,immune_cytotoxic,-0.0648184151025737,0.426019244950633,-0.19116818047528,0.0221893665604102,0.51730908315434,0.0580337279272268,0.14
GBM,Non-epithelial,nk,0.19066626437867,0.0182370308143889,0.129912819817328,0.121994025865442,0.0387536904805765,0.244356089646853,0.14
GBM,Non-epithelial,nk_given_immune,0.273339856214374,0.000656172246711795,,,0.00446197127764021,,0.14
HNSC,Other epithelial,epi_secretory,0.167139138786435,0.000128584223865724,0.222473673386946,4.29178224733255e-07,0.00031227597224533,1.12246612622544e-06,0.29
HNSC,Other epithelial,secretory,0.265599591525279,7.60898214714584e-10,0.293183496647204,1.73109022306325e-11,2.87450436669954e-09,6.53967417601674e-11,0.29
HNSC,Other epithelial,stromal_emt,-0.0074524617174417,0.8653753250435,-0.0739574718756834,0.0965540570000035,0.891598819741788,0.172780944105269,0.29
HNSC,Other epithelial,immune_cytotoxic,0.328995627762865,1.36525096456438e-14,0.296539645916867,9.91622407067188e-12,4.64185327951889e-13,1.68575809201422e-10,0.29
HNSC,Other epithelial,nk,0.300157593486334,2.74905862555573e-12,0.26644026561402,1.13608715861711e-09,3.11559977562982e-11,1.28756544643273e-08,0.29
HNSC,Other epithelial,nk_given_immune,0.0449464802006603,0.306781328682912,,,0.451455909293339,,0.29
KICH,Other epithelial,epi_secretory,0.157429778241422,0.206798430339783,0.156045798983876,0.214498246226928,0.260412838205652,0.262452150021143,0.3
KICH,Other epithelial,secretory,0.143186131638627,0.251404170780638,0.141442932954053,0.261062121009184,0.336890820512274,0.341388927473548,0.3
KICH,Other epithelial,stromal_emt,0.12814872144806,0.305160852397288,0.13220701203504,0.293799934544274,0.451107347022078,0.35675706337519,0.3
KICH,Other epithelial,immune_cytotoxic,0.201770294213902,0.104241974880275,0.226374190285858,0.069786662052531,0.154096832431712,0.124881395251898,0.3
KICH,Other epithelial,nk,0.225076075110426,0.0692200474082799,0.223955999715355,0.0729070444653933,0.112070552946739,0.171311989568417,0.3
KICH,Other epithelial,nk_given_immune,0.131142150526994,0.297740009705386,,,0.451455909293339,,0.3
KIRC,Other epithelial,epi_secretory,0.234798853129733,4.13734054376082e-08,0.231041254248784,1.90496557429063e-07,1.40669578487868e-07,5.88807541144375e-07,0.18
KIRC,Other epithelial,secretory,0.231273691269224,6.65611552163873e-08,0.21781146510729,9.46081221616409e-07,1.88589939779764e-07,2.68056346124649e-06,0.18
KIRC,Other epithelial,stromal_emt,0.151737253857478,0.000439295607437602,0.128501424433863,0.00411202340112225,0.00248934177547975,0.0155343106264618,0.18
KIRC,Other epithelial,immune_cytotoxic,-0.0287612361982484,0.507597750338053,-0.0362536537253322,0.419983000302499,0.583547563739757,0.549208538857114,0.18
KIRC,Other epithelial,nk,0.0363660447287552,0.402097317521521,0.0403104324220832,0.369845826505089,0.471424441232128,0.502990324046921,0.18
KIRC,Other epithelial,nk_given_immune,0.0612906230435025,0.158044761503257,,,0.298528993950596,,0.18
KIRP,Other epithelial,epi_secretory,0.134703703601013,0.0217628740564524,0.146317280424669,0.013579239734661,0.0352351294247325,0.0242996921567619,0.16
KIRP,Other epithelial,secretory,0.335583276464971,4.60290788338975e-09,0.326559199766498,1.75855982151554e-08,1.56498868035251e-08,5.43554853922985e-08,0.16
KIRP,Other epithelial,stromal_emt,0.165612589361551,0.00468907251407314,0.132353070144021,0.0257184048765073,0.0177142739420541,0.06726352044625,0.16
KIRP,Other epithelial,immune_cytotoxic,0.150959045587379,0.0100412117376417,0.0903908170057803,0.128589568085114,0.0213375749424886,0.208192634042566,0.16
KIRP,Other epithelial,nk,0.123258326723586,0.0359091680504768,0.0693089250709345,0.244317044991772,0.0718183361009537,0.393669402469006,0.16
KIRP,Other epithelial,nk_given_immune,0.0195486301721021,0.740706371423028,,,0.767825040149245,,0.16
LAML,Non-epithelial,epi_secretory,0.241895683961525,0.00134440365465831,0.171650244754066,0.0756846165859128,0.00268880730931662,0.116967134723683,0.31
LAML,Non-epithelial,secretory,0.0204459668113263,0.789466825810496,-0.0567306174070012,0.55977779867672,0.865866841211512,0.634414838500283,0.31
LAML,Non-epithelial,stromal_emt,0.111702983530579,0.143424916737866,0.0421732286249858,0.664745935287254,0.321554451921179,0.729076187089246,0.31
LAML,Non-epithelial,immune_cytotoxic,0.209284094680521,0.00571996962849338,0.198392358540455,0.039564268006859,0.0144472904007496,0.0896790074822138,0.31
LAML,Non-epithelial,nk,0.130070202808438,0.0880718829272906,0.149637117272559,0.122178044823426,0.130193218240343,0.244356089646853,0.31
LAML,Non-epithelial,nk_given_immune,-0.081563840329593,0.287476863905669,,,0.451455909293339,,0.31
LGG,Non-epithelial,epi_secretory,0.0902703118712567,0.0405831397752215,0.0778140245466866,0.0800420506887761,0.0627193978344333,0.118323031452973,0.21
LGG,Non-epithelial,secretory,0.0872764323411022,0.0477503515465349,0.0818628203775049,0.0655014963705242,0.0811755976291093,0.106050041742754,0.21
LGG,Non-epithelial,stromal_emt,-0.0547012826793917,0.215241354355149,-0.0559799046773399,0.208262967625527,0.406567002670837,0.296993486601646,0.21
LGG,Non-epithelial,immune_cytotoxic,0.00121380112746395,0.978078001438489,-0.0103639766727098,0.815922620755343,0.984285969248541,0.884988124930609,0.21
LGG,Non-epithelial,nk,0.00162109092611092,0.970724974459215,-0.0011852276803157,0.978761619546639,0.970724974459215,0.978761619546639,0.21
LGG,Non-epithelial,nk_given_immune,0.00115264679266234,0.979202545277051,,,0.979202545277051,,0.21
LIHC,Other epithelial,epi_secretory,0.176000594951605,0.000661181539490967,0.244612274725252,2.91326320609551e-06,0.00149867815617953,7.07506778623196e-06,0.74
LIHC,Other epithelial,secretory,0.176367847537757,0.00064391581875906,0.242219345738198,3.66246209413384e-06,0.00128783163751812,8.89455080003932e-06,0.74
LIHC,Other epithelial,stromal_emt,-0.221859628955954,1.61226856631061e-05,-0.180086418208183,0.000629231723159872,0.000109634262509121,0.00356564643123927,0.74
LIHC,Other epithelial,immune_cytotoxic,-0.0339151467888551,0.514894909182139,0.0387763858792282,0.465168026944569,0.583547563739757,0.585767145041309,0.74
LIHC,Other epithelial,nk,-0.10256478665217,0.0483726883800437,-0.0668207234489797,0.207842317887125,0.082592618651652,0.353331940408113,0.74
LIHC,Other epithelial,nk_given_immune,-0.113044779151693,0.0296994664723159,,,0.0744610988527897,,0.74
LUAD,Other epithelial,epi_secretory,0.234405073359357,7.37730791984727e-08,0.248346126172921,1.76747486639306e-08,2.09023724395673e-07,6.00941454573639e-08,0.48
LUAD,Other epithelial,secretory,0.148237978761228,0.000739384952429559,0.146761769067641,0.000985534568311733,0.00139661602125583,0.00186156529569994,0.48
LUAD,Other epithelial,stromal_emt,-0.0222325972911585,0.614701228730088,-0.0814234656914215,0.0686105123913298,0.720684199200792,0.138834215982135,0.48
LUAD,Other epithelial,immune_cytotoxic,0.191438993330358,1.21762189319822e-05,0.161721547661362,0.000278272241748574,6.89985739478989e-05,0.00236531405486288,0.48
LUAD,Other epithelial,nk,0.229645677102208,1.36862118292898e-07,0.203047061803219,4.62174336594787e-06,7.75552003659755e-07,3.14278548884455e-05,0.48
LUAD,Other epithelial,nk_given_immune,0.12980475711535,0.00319635455030577,,,0.0149098710897263,,0.48
LUSC,Other epithelial,epi_secretory,0.136186411166588,0.00225139637452466,0.137308697131432,0.00227036946823007,0.00425263759632437,0.00482453511998889,0.3
LUSC,Other epithelial,secretory,0.226966181119943,2.8265399826209e-07,0.21600089329586,1.32377237077541e-06,7.3924891853162e-07,3.46217389279722e-06,0.3
LUSC,Other epithelial,stromal_emt,-0.00927152138415513,0.836001414268678,-0.0541297635555135,0.230729809615294,0.88825150266047,0.3137925410768,0.3
LUSC,Other epithelial,immune_cytotoxic,0.303960102429041,3.60894807453319e-12,0.307234190833282,3.24578774004364e-12,6.13521172670643e-11,1.10356783161484e-10,0.3
LUSC,Other epithelial,nk,0.310299627397417,1.21020044044233e-12,0.309880744678033,2.06859381429152e-12,2.05734074875196e-11,7.03321896859116e-11,0.3
LUSC,Other epithelial,nk_given_immune,0.10998264458455,0.0138704898328762,,,0.0428724231197993,,0.3
MESO,Non-epithelial,epi_secretory,-0.0146397229722076,0.892942047922506,0.0801651604349865,0.479645390062976,0.892942047922506,0.526062685875522,0.1
MESO,Non-epithelial,secretory,0.148374989653711,0.170207425106152,0.180084370870785,0.109938120714919,0.241127185567049,0.155745671012802,0.1
MESO,Non-epithelial,stromal_emt,0.155146667680503,0.151319742080555,0.141784516365154,0.209642461130574,0.321554451921179,0.296993486601646,0.1
MESO,Non-epithelial,immune_cytotoxic,0.161413157029106,0.135280553194992,0.107891219133538,0.340790235595625,0.191647450359572,0.482786167093802,0.1
MESO,Non-epithelial,nk,0.14075416469975,0.193476635778266,0.109862987768749,0.331986854810726,0.243637245054112,0.486740827322076,0.1
MESO,Non-epithelial,nk_given_immune,0.0520747229357241,0.633947706850008,,,0.761611199272827,,0.1
OV,Other epithelial,epi_secretory,0.152433190006302,0.00775877808724055,0.1569282707683,0.00711544886884008,0.0131899227483089,0.013440292307809,0.33
OV,Other epithelial,secretory,0.229019474778176,5.56973331527837e-05,0.23791667032805,3.88357144793203e-05,0.000118356832949665,8.25258932685557e-05,0.33
OV,Other epithelial,stromal_emt,-0.310743998762322,3.14315269829126e-08,-0.202580724147037,0.000484747879149472,3.5622397247301e-07,0.00329628557821641,0.33
OV,Other epithelial,immune_cytotoxic,-0.202463736381078,0.000381744271942478,-0.0958673203978966,0.101475153512644,0.00162241315575553,0.172507760971494,0.33
OV,Other epithelial,nk,-0.139473588797459,0.0149456373378581,-0.0555255201722336,0.343581760462642,0.0348061929740983,0.486740827322076,0.33
OV,Other epithelial,nk_given_immune,0.0262029433728295,0.649609552320941,,,0.761611199272827,,0.33
PAAD,GI adeno,epi_secretory,0.678392462372072,2.39665929014319e-25,0.68018153932207,1.16257828862852e-22,1.62972831729737e-24,9.8819154533424e-22,0.98
PAAD,GI adeno,secretory,0.636100655178388,1.42283675602544e-21,0.656532865067726,1.01005495438783e-20,1.20941124262163e-20,8.58546711229657e-20,0.98
PAAD,GI adeno,stromal_emt,-0.235846165964992,0.00152837567209866,-0.235276465587576,0.00301502511636858,0.00649559660641932,0.0128138567445665,0.98
PAAD,GI adeno,immune_cytotoxic,-0.0214198624998227,0.776566871207069,0.0169696572126231,0.832929999934691,0.82510230065751,0.884988124930609,0.98
PAAD,GI adeno,nk,-0.0647457980573789,0.39054345077101,-0.0215224118738305,0.789044920062463,0.471424441232128,0.896382684586097,0.98
PAAD,GI adeno,nk_given_immune,-0.0753803928524521,0.31867475950118,,,0.451455909293339,,0.98
PCPG,Non-epithelial,epi_secretory,0.133641970812353,0.0745065248847392,0.123618848020222,0.119378419641222,0.110140080264397,0.162354650712062,0.13
PCPG,Non-epithelial,secretory,-0.00988275350951618,0.895538691715702,-0.0250672133092809,0.753034028756542,0.931024948915969,0.800098655553826,0.13
PCPG,Non-epithelial,stromal_emt,0.13548503871749,0.0705575904194737,0.111110566490154,0.161883426179473,0.184535236481701,0.262096975719147,0.13
PCPG,Non-epithelial,immune_cytotoxic,0.244069663601363,0.000993045233462616,0.219882778904584,0.00520943296851069,0.00375150421530321,0.0295201201548939,0.13
PCPG,Non-epithelial,nk,0.311475683441064,2.19444796275863e-05,0.271420003851345,0.000517160367720288,8.66900978014065e-05,0.00251192178606997,0.13
PCPG,Non-epithelial,nk_given_immune,0.206890985096506,0.00559072179218975,,,0.0211205045482724,,0.13
PRAD,Other epithelial,epi_secretory,0.316093280251458,5.39802309485021e-13,0.315672974536868,2.33587218194385e-12,3.05887975374845e-12,1.32366090310151e-11,0.99
PRAD,Other epithelial,secretory,0.342673959625573,3.86075468293069e-15,0.334974563259789,8.18624728334124e-14,2.18776098699405e-14,4.63887346056004e-13,0.99
PRAD,Other epithelial,stromal_emt,-0.0484027978460293,0.281488372191515,-0.0847680362960084,0.0660473202735692,0.435027484295978,0.138834215982135,0.99
PRAD,Other epithelial,immune_cytotoxic,-0.000885711475418284,0.984285969248541,-0.0599626208183566,0.193926057811627,0.984285969248541,0.299703907527061,0.99
PRAD,Other epithelial,nk,0.019156284308179,0.670090127341066,-0.0388688187811134,0.399995937481508,0.759435477653208,0.503698587939677,0.99
PRAD,Other epithelial,nk_given_immune,0.0297550731389632,0.508515255176527,,,0.640352543555627,,0.99
READ,GI adeno,epi_secretory,0.756866371589566,8.37704851059005e-31,0.757517038653909,3.89371743948569e-30,9.49398831200206e-30,4.41287976475045e-29,0.97
READ,GI adeno,secretory,0.88352899296381,1.37955683036759e-53,0.885155747269419,1.05564190100842e-52,2.3452466116249e-52,1.79459123171431e-51,0.97
READ,GI adeno,stromal_emt,-0.111645757256005,0.161191384415144,-0.297565013564233,0.00016977210804513,0.322382768830287,0.0014430629183836,0.97
READ,GI adeno,immune_cytotoxic,0.151470301769969,0.056661939498942,0.0312560728080272,0.699437839083379,0.0917383782363823,0.792696217627829,0.97
READ,GI adeno,nk,0.367887794486304,1.8361191017942e-06,0.272548918879643,0.000601519265192368,8.91829278014328e-06,0.00255645687706756,0.97
READ,GI adeno,nk_given_immune,0.379418966663144,8.812493321002e-07,,,2.16302334214894e-05,,0.97
SARC,Non-epithelial,epi_secretory,0.329325107600119,5.7477304393e-08,0.323187753245671,2.90582149751705e-07,1.77657122669273e-07,8.23316090963164e-07,0.15
SARC,Non-epithelial,secretory,0.301660278411969,7.53649829361968e-07,0.284568998818687,7.19409881467872e-06,1.83029244273621e-06,1.63066239799384e-05,0.15
SARC,Non-epithelial,stromal_emt,0.0389266326519305,0.532843614645155,0.0110431293798256,0.86457812508354,0.647024389211974,0.890777462207284,0.15
SARC,Non-epithelial,immune_cytotoxic,0.170484710813671,0.00594888428266161,0.12205940549312,0.0584775892465273,0.0144472904007496,0.110457668576774,0.15
SARC,Non-epithelial,nk,0.110417362333695,0.0760909999492708,0.0555093532071699,0.390937580514717,0.117595181739782,0.503698587939677,0.15
SARC,Non-epithelial,nk_given_immune,-0.0262478263376428,0.674757512452696,,,0.764725180779722,,0.15
SKCM,Non-epithelial,epi_secretory,-0.0184041608199782,0.853607170930928,-0.0389035787850275,0.697859519323639,0.879474054898532,0.719006777484961,0.09
SKCM,Non-epithelial,secretory,0.0120755404009225,0.903641862183146,-0.00221554036226894,0.98236809685224,0.931024948915969,0.98236809685224,0.09
SKCM,Non-epithelial,stromal_emt,-0.110747353113974,0.265418393425445,-0.126660871049685,0.204597193544373,0.435027484295978,0.296993486601646,0.09
SKCM,Non-epithelial,immune_cytotoxic,0.229379200105509,0.0197691380121672,0.222997888632291,0.0242679937791503,0.037632016568294,0.0589365563207936,0.09
SKCM,Non-epithelial,nk,0.319003118066621,0.0010224824775025,0.324229738243897,0.000885804551144429,0.0034764404235085,0.00334637274876784,0.09
SKCM,Non-epithelial,nk_given_immune,0.250354860859059,0.0111535619723615,,,0.0379221107060293,,0.09
STAD,GI adeno,epi_secretory,0.616159430970266,9.58205283036905e-45,0.608201723023376,4.95882448790149e-42,1.62894898116274e-43,8.43000162943254e-41,0.98
STAD,GI adeno,secretory,0.65067412462483,2.53013282692523e-51,0.641003733103613,6.79427194470467e-48,2.86748387051527e-50,7.70017487066529e-47,0.98
STAD,GI adeno,stromal_emt,-0.042383489414231,0.389127848931693,-0.023883378503128,0.633050807537282,0.50885949475683,0.717457581875586,0.98
STAD,GI adeno,immune_cytotoxic,-0.126499702194846,0.00989169662301267,-0.117712535034826,0.0182260554142963,0.0213375749424886,0.0563350803714614,0.98
STAD,GI adeno,nk,-0.0100700001637707,0.837940967094633,0.0146822730099337,0.769156958371397,0.863333117612652,0.896382684586097,0.98
STAD,GI adeno,nk_given_immune,0.151729823745973,0.00196247136939419,,,0.0111206710932338,,0.98
TGCT,Non-epithelial,epi_secretory,0.515546344279492,1.8375543884848e-10,0.4677084462892,1.56462968821846e-08,7.80960615106041e-10,5.91082326660307e-08,0.53
TGCT,Non-epithelial,secretory,0.582645574799116,1.52049247316368e-13,0.545030488470965,1.41254082341964e-11,7.38524915536646e-13,6.00329849953348e-11,0.53
TGCT,Non-epithelial,stromal_emt,0.499457796013938,8.08750679909457e-10,0.473598798807626,9.73299320300341e-09,1.37487615584608e-08,3.30921768902116e-07,0.53
TGCT,Non-epithelial,immune_cytotoxic,-0.125290991426079,0.149175245309586,0.174351313706851,0.0455614882631154,0.202878333621037,0.0968181625591202,0.53
TGCT,Non-epithelial,nk,-0.142436101070266,0.100641428996954,0.112418021186694,0.199361590974013,0.142575357745685,0.353331940408113,0.53
TGCT,Non-epithelial,nk_given_immune,-0.0695289809450399,0.426473089389981,,,0.557695578433052,,0.53
THCA,Other epithelial,epi_secretory,0.0168966825804442,0.704842461843777,0.0041564889515959,0.929003466381634,0.748895115709013,0.929003466381634,0.08
THCA,Other epithelial,secretory,0.0453304475010025,0.309308805124271,0.0346864947837317,0.457020436572901,0.389499976823156,0.535817063568228,0.08
THCA,Other epithelial,stromal_emt,0.149473532680921,0.000752706425161438,0.0964318938451599,0.0382709642280426,0.00365600263649842,0.0929437702681035,0.08
