cohort,endpoint,n,events,stage_adj,HR_uni,p_uni,HR_adj,p_adj,HR_epi,p_epi,p_LRT,C_base,C_full
COAD,PFI,420,112,TRUE,0.9,0.25,1.03,0.81,0.87,0.58,0.81,0.671,0.674
COAD,OS,421,92,TRUE,0.88,0.2,1.12,0.45,0.73,0.23,0.45,0.715,0.719
READ,PFI,143,32,TRUE,0.95,0.76,1.13,0.65,0.78,0.62,0.65,0.634,0.621
READ,OS,144,20,TRUE,0.67,0.069,0.96,0.9,0.6,0.47,0.9,0.776,0.772
PAAD,PFI,174,104,TRUE,1.03,0.74,0.74,0.04,1.77,0.0026,0.041,0.55,0.612
PAAD,OS,174,93,TRUE,1.13,0.26,0.89,0.47,1.42,0.079,0.47,0.582,0.599
STAD,PFI,373,128,TRUE,1.1,0.28,1.2,0.11,0.79,0.13,0.1,0.57,0.571
STAD,OS,371,146,TRUE,1.09,0.32,1.19,0.095,0.73,0.027,0.091,0.625,0.632
ESCA_EAC,PFI,68,32,TRUE,0.95,0.78,0.92,0.77,1.39,0.41,0.77,0.709,0.711
ESCA_EAC,OS,68,34,TRUE,1.05,0.82,0.74,0.28,2.75,0.013,0.28,0.705,0.706
BLCA,PFI,405,174,TRUE,0.8,0.011,0.93,0.44,0.81,0.15,0.43,0.622,0.626
BLCA,OS,404,177,TRUE,0.78,0.0039,0.91,0.35,0.76,0.063,0.34,0.652,0.653
PRAD,PFI,497,93,FALSE,0.65,0.00019,0.71,0.0062,0.68,0.15,0.0049,0.584,0.624
