cohort,outcome,beta_REG4,p_REG4,beta_int,p_int,fdr_REG4,fdr_int
COAD,immune_cytotoxic,0.275,1.3e-05,-0.035,0.24,0.00014,0.39
COAD,nk,0.267,2.4e-08,0.051,0.022,5e-07,0.066
COAD,stromal_emt,-0.089,0.18,-0.028,0.37,0.34,0.49
READ,immune_cytotoxic,0.227,0.057,0.084,0.13,0.15,0.34
READ,nk,0.304,0.00054,0.177,2.2e-05,0.0038,0.00023
READ,stromal_emt,0.063,0.63,0.028,0.64,0.74,0.77
PAAD,immune_cytotoxic,0.035,0.68,-0.149,0.0023,0.75,0.011
PAAD,nk,-0.048,0.44,-0.011,0.74,0.62,0.78
PAAD,stromal_emt,-0.246,0.0052,-0.253,6.3e-07,0.02,1.3e-05
STAD,immune_cytotoxic,-0.032,0.54,-0.044,0.22,0.67,0.39
STAD,nk,-0.007,0.85,-0.009,0.74,0.89,0.78
STAD,stromal_emt,0.038,0.47,-0.007,0.84,0.62,0.84
ESCA_EAC,immune_cytotoxic,-0.178,0.14,0.129,0.15,0.29,0.35
ESCA_EAC,nk,-0.143,0.13,0.083,0.23,0.29,0.39
ESCA_EAC,stromal_emt,-0.164,0.22,0.094,0.34,0.38,0.49
BLCA,immune_cytotoxic,-0.118,0.0064,0.109,0.00089,0.02,0.0062
BLCA,nk,-0.09,0.0067,0.076,0.0026,0.02,0.011
BLCA,stromal_emt,-0.136,0.0011,0.041,0.19,0.0058,0.39
PRAD,immune_cytotoxic,-0.041,0.29,-0.013,0.66,0.47,0.77
PRAD,nk,-0.023,0.41,0.02,0.35,0.62,0.49
PRAD,stromal_emt,0.002,0.95,0.074,0.0098,0.95,0.034
